Metric Name (CN),English Name,English Abbreviation,Category,Lower Bound,Upper Bound,Unit,Professional Interpretation,Recommendations,Applicable Scope,Health Interpretation,Aliases
Serum creatine kinase,Serum creatine kinase,CK,Myocardial Injury Related,8,60,U/L,CK (creatine phosphokinase) reversibly catalyzes creatine + ATP ↔ phosphocreatine + ADP; widely in skeletal muscle, heart, brain. Methods: creatine colorimetric 8–60 U/L (0.5–3.6); coupled rate: men 50–310," women 40–200.,Uses: MI diagnosis (rise 2–4h, peak 12–48h, normal 2–4d; larger rise than AST/LDH; rises in subendocardial/recurrent MI). Elevated in polymyositis, muscular dystrophy, major trauma; also stroke, meningitis, seizures, shock, tetanus; hypothyroid, infections, malignant hyperthermia, intense exercise, procedures, IM drugs. Lower in hyperthyroid, SLE, chronic arthritis, steroids, OCPs, chemo.,Adults,",
Serum lipase,Serum lipase,LIP,Pancreatic Function,0,110,U/L,Lipase hydrolyzes long-chain triglycerides; mainly pancreatic (also gastric/small intestine). Co-lipase smaller → filtered; ratio changes in acute pancreatitis. Methods: titration, electrode, turbidimetry," spectrophotometry, fluorometry.,No special prep; heparin, Ca, bile salts, phosphatidylcholine raise LPS; OCPs lower.,Uses: acute/chronic pancreatitis, pancreatic juice stasis (cancer/cyst/choledochal stone/ampullary CA), renal failure, pancreatic injury, perforated peritonitis, duct obstruction (stone, opiates, codeine, methacholine).,High → pancreatitis/stasis etc.; low → late pancreatic cancer or major resection.",
Serum glutathione peroxidase,Serum glutathione peroxidase,GPx,Oxidative Stress Indicator,127.64,140.32,U/L,GPx is a key free-radical scavenger; clears radicals, reduces lipid peroxides, supports antioxidant defense; involved in PGI2/TXA2 synthesis.,"Lower in Alzheimer’s.,Oxidative defense indicator.,High: diabetes, sickle cell anemia, neonatal hemolysis, thalassemia. Low: Keshan disease, Kashin-Beck, MS, cancer, CHD, chronic pancreatitis, burns, surgery.",
Serum iron,Serum iron,Fe,Iron Metabolism,"{'Male': 10.7, 'Female': 9.1, 'Newborn': 18, 'Infant': 7, 'Child': 9, 'Elderly': 7.2}","{'Male': 29.5, 'Female': 26.5, 'Newborn': 45, 'Infant': 18, 'Child': 22, 'Elderly': 14.3}",μmol/L,Iron forms heme → hemoglobin/myoglobin and aids B-vit metabolism; serum iron is transferrin-bound Fe.,Avoid hemolysis. Aspirin, cholestyramine," steroids ↓ result; dextran, OCPs, iron meds ↑. Diurnal variation (AM highest); draw at fixed time.,Healthy Adults, Infants, Elderly,Normal serum iron is crucial for Hb/myoglobin and B-vit metabolism; abnormal suggests iron disorders, anemia, liver disease, etc.",
Blood glucose,Blood glucose,GLU,Glucose Metabolism,3.9,6.1,mmol/L,>7.0 diabetes; 6.1–6.9 borderline; <3.9 often no intervention.,If markedly high/low, see endocrinology; adjust diet/meds.,"Adults,Reflects glucose metabolism; key for diabetes screening.",
Hemoglobin,Hemoglobin,HGB,Blood Routine,110,150,g/L,Low = anemia; assess iron/folate/B12 deficiency.,See hematology for evaluation.,"Adults, Children","Key oxygen carrier; low → fatigue, dizziness.",
Keratinase,Keratinase,KERA,Enzyme Assay,5,9,pH,Serine esterase; degrades plant cutin esters, emulsified TGs, short-chain esters," synthetic polyesters; optimal pH 5–9, temp 30–50°C; fungal virulence factor.,Textile bio-scouring/modification for clean processing.,Textile, medical, chemical,Keratinase hydrolyzes host cutin; inactivation blocks pathogen invasion.",
Squalene synthase,Squalene synthase,SQS,Enzyme Assay,,,,Key enzyme condensing two FPP to squalene; branch point for triterpenes/sterols; affects cholesterol precursors, plant secondary metabolites, drug precursors; drug target for cholesterol-lowering inhibitors.,",Metabolic engineering, drug development, agri-biotech,",
Alanine aminotransferase,Alanine aminotransferase,ALT,Liver Function,7,40,U/L,Elevation → hepatocellular injury (viral, alcoholic, etc.).,"See hepatology for etiology workup.,Adults, Children,High ALT usually means hepatocyte damage; interpret with other markers.",
Glutamate dehydrogenase,Glutamate dehydrogenase,GLUD,Liver Function,0,1.5,U/L,Mitochondrial enzyme mainly in liver/heart/kidney; catalyzes oxidative deamination of glutamate and other amino acids. Measured kinetically.,Avoid fatty/high-protein food and heavy alcohol; fast 12h after 8pm; relax during draw; press site 3–5 min.,Liver disease diagnosis,"Normal implies liver OK; elevated suggests acute/chronic hepatitis, cirrhosis, etc.",
Glutathione S-transferase,Glutathione S-transferase,GST,Oxidative Stress Indicator,0,21,U/L,GST family involved in hepatic detox; mainly liver, small amounts kidney/intestine/testis/ovary; hepatocyte injury releases GST to blood.,Avoid heavy/fatty/high-protein food and alcohol; fast 12h after 8pm; relax during draw.,"Suspected hepatitis/assessment,GST parallels ALT in acute hepatitis; rises more often/higher in severe/chronic; severe cases up to 5–8× (or tens×) normal.",
Glutathione peroxidase,Glutathione peroxidase,GPx,Oxidative Stress Indicator,2.96,83,UgHb,Peroxidase with selenocysteine center; activity reflects selenium; converts GSH → GSSG to detox peroxides, protecting membranes.,Maintain adequate selenium for normal activity.,"Assess antioxidant capacity/selenium.,High: diabetes, sickle cell, neonatal hemolysis, thalassemia. Low: Keshan, Kashin-Beck, MS, cancer, CHD, chronic pancreatitis, burns, surgery.",
Glutathione reductase,Glutathione reductase,GR,Oxidative Stress Indicator,33,73,U/L,Key flavoprotein maintaining reduced GSH via NADPH; protects Hb and thiol proteins, preserves cell integrity.,Avoid strenuous exercise," meals, alcohol before test.,Used in liver disease dx (acute/drug/toxic/chronic hepatitis, HCC, early cirrhosis).,High GR may reflect liver disease; physiologic rise after exercise, meals, alcohol, newborn jaundice.",
Aspartate aminotransferase,Aspartate aminotransferase,AST,Liver Function,13,35,U/L,AST with ALT helps injury typing; AST/ALT>2 suggests alcoholic hepatitis.,Assess alcohol history and liver markers.,"Adults, Children",AST+ALT gauge liver or muscle damage severity.,
High-sensitivity C-reactive protein,High-sensitivity C-reactive protein,hs-CRP,Inflammatory Response,0,5,mg/dl,CRP is an acute-phase protein pentamer from liver; rises sharply in inflammation. hs-CRP measures very low levels, marking vascular inflammation and CV risk; methods: latex turbidimetry, ELISA," colloidal gold, chemiluminescence, immunofluorescence. Risk: <1 low, 1–3 average, 3.1–9.9 high, >9.9 very high.,Cardiovascular disease: hs-CRP promotes macrophage uptake of oxLDL (foam cells), TF expression, complement activation in plaques, adhesion molecules, endothelial sensitization; correlates with atherosclerosis progression and predicts CHD risk (often superior to traditional lipids). Metabolic syndrome: obesity/inflammation drive atherosclerosis; hs-CRP higher with more metabolic abnormalities and CHD; inflammation may trigger MS/atherosclerosis; targeting inflammation may reduce events.,Adults,",
Superoxide dismutase,Superoxide dismutase,SOD,Oxidative Stress Indicator,13,64,Not specified,SOD dismutates superoxide to H2O2 + O2; antioxidant/anti-aging role; useful in conditions linked to superoxide (oxygen toxicity, acute inflammation, autoimmune disease," radiation sickness, senile cataract).,Overuse may have side effects; aging is multifactorial.,Used for anti-aging, disease prevention, immune support, food/cosmetic additive.,Clears superoxide to limit pigment/lipofuscin formation and oxidative aging.",
Height,Height,HT,Physical Measurement,,,cm,Vertical distance vertex-to-ground; in cm/m. Growth influenced by genetics, nutrition, exercise," environment, habits, ethnicity, endocrine, puberty timing, consanguinity, medical care. Girls spurt age 12–13, stop ~19–23; boys spurt 15–16, stop ~20–25 when bone ossifies. Avg height China 18–44y: men 169.7 cm, women 158 cm.,,Adults,",
Aminotransferases,Aminotransferases,AMT,Liver Function,0,40,u/L,Transfer amino groups between amino/keto acids; mainly in hepatocytes; injury/inflammation/toxin → release → serum rise.,Avoid alcohol, strenuous exercise," late nights; balanced diet with fungi/high protein.,Key liver function marker (hepatitis, cirrhosis, HCC).,Elevation not always hepatitis—could be exercise, drugs, fatty liver; interpret with other tests.",
Apolipoprotein A1,Apolipoprotein A1,ApoA1,Blood Lipid,1.25,1.59,g/L,"ApoA is a major plasma apolipoprotein component (A-I, A-II, A-IV). ApoA-I/A-II ~90% of total; ApoA-II is key HDL component; samples require fasting ≥12h and no alcohol ≥24h.","ApoA-II participates in lipid metabolism via HDL; hydrolyzes TGs in chylomicrons/VLDL. ApoA-I low correlates negatively with CHD risk; elevated in alcoholic hepatitis; ApoA-II abnormalities seen in hepatitis, cirrhosis, acute MI. Ref ApoA-I 1.00–1.60 g/L; ApoA-II 23.0–40.0 mg/dL.",Methods: immunoturbidimetry and rocket electrophoresis.,Maintain ApoA-I within 1.00–1.60 g/L; values relate to CHD risk and liver/cardiac conditions.,
Apolipoprotein B,Apolipoprotein B,ApoB,Blood Lipid,0.42,1.14,g/L,Apolipoproteins are the protein components of plasma lipoproteins and transport lipids. ApoB subclasses: apoB48 (chylomicrons) and apoB100 (VLDL/LDL).,"High apoB accelerates atherosclerosis via cholesterol deposition and plaque formation, narrowing and stiffening vessels; raises risk of CHD, stroke, MI.",Adults,Keep apoB in range to reduce cardiovascular risk.,
Hyaluronidase,Hyaluronidase,HYAL,Enzyme Assay,60 U,160 U,U,"Enzyme that hydrolyzes hyaluronic acid, increasing tissue permeability.",Skin test before use; avoid if allergic or bee venom–allergic.,Used as drug permeation enhancer to improve absorption and reduce post-op/trauma edema or hematoma.,Temporarily lowers intercellular matrix viscosity to speed diffusion/absorption of fluids.,
Oxoglutarate dehydrogenase,Oxoglutarate dehydrogenase,OGDH,Enzyme Assay,0.14,0.04,mM,Key TCA-cycle control point inhibited by succinyl-CoA/NADH and high energy; activated allosterically by ADP and Ca²⁺.,No specific recommendations.,"TCA cycle, lysine degradation, tryptophan metabolism.",Activity declines in neurodegenerative diseases; autoantigen in primary biliary cirrhosis with antibodies recognizing oxidized proteins.,
pH,pH,pH,General Test,0,14,None,"pH expresses acidity/alkalinity: pH7 neutral, <7 acidic, >7 alkaline.",For acidic soil use lime; for alkaline soil use gypsum/sulfur/alum.,"Industrial/agricultural production, experiments, daily health.",Body fluids have set pH (blood 7.35–7.45; gastric juice 0.9–1.5). Irregular diet causing excess acid can damage gastric mucosa.,
Alcohol dehydrogenase,Alcohol dehydrogenase,ADH,Enzyme Assay,0,2.6,U/L,Enzyme family in digestive system catalyzing alcohol oxidation; main step in ethanol metabolism with aldehyde dehydrogenase.,"If alcohol metabolism or liver function is abnormal, limit alcohol and monitor liver tests.",Assess liver function and alcohol metabolism; important in acute hepatitis diagnosis.,Serum ADH often elevated in acute hepatitis (~87%); lower positivity in chronic hepatitis/cirrhosis; obstructive jaundice without hepatocyte damage usually not elevated.,
Indirect bilirubin,Indirect bilirubin,IBil,Liver Function,1.7,10.2,μmol/L,Unconjugated bilirubin (not bound to glucuronic acid); part of total bilirubin. Elevation mainly from hemolysis exceeding hepatic conjugation capacity; reflects hepatic conversion and RBC breakdown.,"Liver diseases (acute jaundice hepatitis, acute hepatic necrosis, chronic active hepatitis, cirrhosis).","Hemolytic anemia, transfusion reactions, hepatocellular jaundice, severe burns, sepsis, malaria, hypersplenism, anemias, lead toxicity, neonatal/drug/constitutional/breast milk jaundice, etc.",Adults,
Occult blood,Occult blood,OB,Stool Examination,0,50,/uL,"Urine occult blood normally negative; positivity graded 1–3+ based on RBC/hemoglobin presence; causes include nephritis, stones, infection, tumors.","Single positive ≠ diagnosis; combine with symptoms and imaging (endoscopy, ultrasound). Persistent or high values → further tests (GI endoscopy, CT).",Adults,Adults,
Bone mineral density,Bone mineral density,BMD,Bone Density,-1,1,g/cm²,"BMD is mineral content per volume; absolute value varies by device, so T-score is used: normal -1 to +1; < -2.5 abnormal. Indicates bone strength/osteoporosis risk.",Adjust diet (calcium-rich) and exercise moderately to reduce bone loss/fracture risk.,"Diagnose osteoporosis, monitor therapy, epidemiology; strong for predicting osteoporotic fractures.",Use for screening susceptible cases; consider age influence on predictive value.,
High-density lipoprotein,High-density lipoprotein,HDL,Blood Lipid,0.7,2,mmol/L,HDL is anti-atherogenic lipoprotein (“vascular scavenger”) transporting excess cholesterol to liver for excretion; protective for CHD.,Maintaining normal HDL helps prevent atherosclerosis and CHD.,"Used to diagnose/monitor dyslipidemia, atherosclerosis, and CHD.",Higher HDL → lower cardiovascular morbidity/mortality; each +1 mg/dL reduces risk 3–4%.,
High-density lipoprotein cholesterol,High-density lipoprotein cholesterol,HDL-C,Blood Lipid,0.9,1.4,mmol/L,"HDL carries cholesterol from peripheral tissues back to liver, reducing arterial deposition—“good cholesterol.” Men >1.0 mmol/L, women >1.3 mmol/L (estrogen raises HDL).","Rarely, very high HDL may accompany chronic inflammation, liver disease, or meds (niacin, OCPs); usually reflects healthy lifestyle. Judge with overall lipids and CV risk.",Adults,,
Squamous cell carcinoma antigen,Squamous cell carcinoma antigen,SCCA,Tumor Marker,0,2.5,ng/mL,SCC-Ag is a squamous cell carcinoma marker for dx aid, efficacy evaluation, and recurrence monitoring; elevation suggests risk of cervical," lung, esophageal SCC, etc., but needs other tests.,Prep: avoid testing during acute inflammation or active skin disease; some drugs/smoking interfere—tell doctor. Trend: single value limited; repeat to track (post-treatment decline = improvement). Reference ranges vary (0–1.5 or 0–2.5); use lab report.,Adults,",
