指标名,英文名,英文简称,类别,左边界,右边界,单位,专业解读,建议,适用范围,健康解读
红细胞δ-氨基-γ-酮戊酸脱水酶,Delta-aminolevulinic acid dehydratase,ALAD,酶学检测,139,211,U/ml RBC,红细胞δ-氨基-γ-酮戊酸脱水酶(ALA)是细胞溶酶体中的一种裂合酶。其活性下降常见于铅中毒及其他重金属中毒。,检查前应避免油腻、高蛋白饮食及饮酒，需空腹12小时。检查后需正确按压止血，出现晕针症状应及时处理。,适用于有心悸、头痛、眩晕、晕厥、昏迷、癫痫样发作、共济失调、呼吸异常、恶心呕吐、腹痛等症状的人群，以及经常接触铅笔的儿童。,正常活性范围为139-211 U/ml RBC。活性降低可能提示铅中毒或其他重金属中毒，需结合临床症状和其他检查结果综合判断。
红细胞体积分布宽度,Red cell distribution width,RDW,血常规,0,14.5,%,红细胞体积分布宽度（RDW）是由血细胞分析仪测量而获得，是反映外周血红细胞体积异质性的参数。它所表达的内容是红细胞体积大小的均匀程度，如果红细胞体积大小均匀一致，则该参数降低，在参考范围以内。如果红细胞体积大小不一致，差异较大，则该参数高于参考值。不同病因引起的贫血，红细胞形态学特点不同。红细胞体积分布宽度对贫血的诊断与鉴别诊断有重要意义。一般通过RDW和MCV这两个参数进行贫血的形态学分类。,与MCV结合，可对贫血进行形态学分类，尤其是对缺铁性贫血的早期诊断、疗效与预防及缺铁性贫血与地中海贫血的鉴别具有重要意义。,适用于各种贫血病的诊断和治疗。,红细胞体积分布宽度的正常参考值：<14.5%。
红细胞压积,Hematocrit,HCT,血常规,0.4,0.5,无,红细胞压积（PCV），又称红细胞比容（Hct），是指一定量的抗凝全血经离心沉淀后，测得下沉的红细胞占全血的容积比，是一种间接反映红细胞数量大小及体积的简单方法。结合红细胞计数和血红蛋白含量，可计算红细胞平均值，有助于贫血的形态学分类。,红细胞比容是影响血液黏度的重要因素，血液黏度随红细胞压积的增加而迅速增高，反之则降低。,各种原因所致血液浓缩如大量呕吐、腹泻、大面积烧伤后有大量创面渗出液等，测定红细胞压积以了解血液浓缩程度，可作为补液量的依据。真性红细胞增多症有时可高达80%左右。继发性红细胞增多症系体内氧供应不足引起的代偿反应如新生儿、高原地区居住者及慢性心肺疾患等。,红细胞压积偏高可能表示血液浓缩或红细胞增多症，偏低则可能表示贫血或血液稀释。
红细胞沉降率,Erythrocyte sedimentation rate,ESR,炎症反应,0,15,mm/h,血沉的参考范围， 男性为0~15mm/h，女性为0~20mm/h。 血沉增高可见于生理和病理性原因，减慢则临床意义较小。 血沉是辅助诊断指标，需结合其他检查结果评估。 血沉即红细胞沉降率，是指红细胞在一定条件下沉降的速度。 其数值增高，可见于生理性原因和病理性原因。 生理性原因包括女性月经期和妊娠期、部分儿童和老年人等，这些情况通常无需特殊处理。,建议尽快到内科或风湿免疫科就诊，完善 血常规、C反应蛋白、自身抗体、影像学检查 等，排查类风湿关节炎、结核、肿瘤等潜在疾病。 若伴随发热、关节痛、体重下降等症状，需详细告知医生。,成人,
红细胞计数,Red blood cell count,RBC,血常规,4,5.5,10^12/L,成年男性的红细胞计数正常范围为4.0-5.5×10^12/L，成年女性为3.5-5.0×10^12/L。 儿童和老年人的正常值可能略有不同，需参考具体年龄段的参考范围。 红细胞计数过高或过低都可能提示潜在健康问题。 2.红细胞计数异常的原因 红细胞计数异常可能由多种因素引起。 红细胞增多常见于脱水、慢性 肺病 、真性红细胞增多症等；红细胞减少则可能与贫血、慢性疾病、 营养不良 、骨髓疾病等有关。,红细胞数量偏高，可能是由于机体处于缺氧状态，如慢性阻塞性肺病或高原反应等情况，此时体内促红细胞生成素浓度上升，刺激红细胞增殖。血红蛋白浓度偏高，通常与红细胞增多相对应，是血液携氧能力增强的表现，但也可能是血液浓缩导致的，如脱水或严重呕吐、腹泻后。再者，红细胞比积偏高，反映了红细胞在血液中所占体积比例的增加，这同样可能与脱水、真性红细胞增多症等病理状态有关。,成人,
细胞角蛋白19片段,Cytokeratin 19 fragment,CYFRA21-1,肿瘤标志物,0,4.46,ng/ml,细胞角蛋白19片段是一种肿瘤标志物，在肺癌等多种恶性肿瘤的诊断、治疗监测等方面有一定意义，但不能单纯依据其偏高多少来诊断癌症。一般来说，细胞角蛋白19片段的正常参考值范围因检测方法和实验室不同而略有差异，通常血清中的含量在3.3ng/ml以下。当细胞角蛋白19片段的检测值超过正常参考上限时，提示可能存在相关疾病，但不一定就是癌症。,"1、饮食：保持均衡饮食，多吃新鲜的蔬菜水果，如西兰花、苹果等，增加膳食纤维摄入；减少高脂肪、高糖、高盐食物的摄取，如油炸食品、蛋糕、腌制品等。避免食用辛辣、刺激性食物，以免对身体产生不良刺激，加重身体负担。

2、情绪管理：避免过度焦虑和紧张，虽然细胞角蛋白19片段偏高可能提示身体存在某些问题，但不一定就是患有严重疾病。过度的情绪波动可能会影响身体的内分泌和免疫系统，不利于身体健康。

3、避免接触有害物质：尽量避免接触化学致癌物、放射性物质等，如甲醛、苯等，这些物质可能会对身体细胞产生损伤，增加患癌风险。在日常生活中，注意室内通风，选择环保装修材料，避免在新装修的房间内长时间停留。",成人,
羟丁酸脱氢酶,Hydroxybutyrate dehydrogenase,HBDH,心肌损伤相关,90,182,U/L,羟丁酸脱氢酶（HBDH）与乳酸脱氢酶（LDH）、肌酸激酶（CK）、天门冬氨酸氨基转移酶（AST）一起构成了心肌酶谱，对于诊断心肌梗死有重要意义。血清羟丁酸脱氢酶增高主要见于：心肌梗死、活动性风湿性心肌炎、急性病毒性心肌炎、溶血性贫血等。尽管肝脏和心脏疾病均可引起HBDH活性增高，但HBDH活性在肝脏疾病时变化不是很大，而在心脏疾病时有明显增高，故HBDH可用于肝病和心肌梗死的鉴别诊断。,患者于空腹12小时以后，在清晨静脉抽血，测定血清羟丁酸脱氢酶活力。,心肌梗死、活动性风湿性心肌炎、急性病毒性心肌炎、溶血性贫血等疾病的诊断与鉴别诊断。,血清羟丁酸脱氢酶的正常参考值范围为90-182U/L。超出此范围可能提示心脏或血液系统疾病，需结合其他检查结果综合判断。
肌酐,Creatinine,Cr,肾功能,41,73,μmol/L,升高提示肾小球滤过功能下降，或剧烈运动后肌酐升高。,建议就诊肾病科排除肾功能减退。,成人、儿童,肌酐升高可能提示肾功能减退，尤其需结合尿检指标。
肌酸激酶,Creatine kinase,CK,心肌损伤相关,18,198,U/L,肌酸激酶用于骨骼肌疾病及心肌疾病的诊断。增高可见于生理性因素（如剧烈运动、分娩、肌肉注射药物等）和病理性因素（如心肌梗死、病毒性心肌炎、皮肌炎、肌营养不良等）。降低可见于甲状腺功能亢进症。,测定标本应使用血清而非血浆，避免溶血，注意避免引起酶失活的因素（如加热、光照），防止二氧化碳丢失导致pH升高影响测定结果。,用于骨骼肌疾病及心肌疾病的诊断。,血清肌酸激酶活性在正常范围内通常表示肌肉和心脏功能正常。异常增高可能与肌肉损伤或心脏疾病有关，需结合其他检查进一步评估。
肠激酶,Enterokinase,EK,酶学检测,4.5,9.5,ku,肠激酶是存在于哺乳动物十二指肠内的一种异源二聚体丝氨酸蛋白酶，分子质量为150ku，由1条115ku重链和1条35ku轻链组成。在pH值4.5-9.5、温度4-45℃范围内特异性水解蛋白底物。肠激酶在体内激活胰蛋白酶原转化为胰蛋白酶，由于肠激酶的轻链结构在人、牛和猪中保守，其识别序列Asp-Asp-Asp-Asp-Lys在脊椎动物中也有很强的保守性。,肠激酶是消化系统重要的起始酶之一，其缺陷可能导致腹泻、呕吐、浮肿等症状，造成发育不良，导致血蛋白不足症和贫血。,基因工程融合蛋白表达后修饰过程,十二指肠与胰腺的回流液中富集肠激酶会激活过多的胰蛋白酶原从而导致急性胰腺炎。
肠镜,Colonoscopy,Colonoscopy,影像内镜,无,无,无单位,50岁以上体检推荐项目，可发现早期癌变或息肉。,如发现结肠息肉，建议消化内科切除并随访。,中老年人,肠镜是结直肠癌筛查的金标准。
胃泌素G-17,Gastrin-17,G-17,胃功能,1,15,Pmol/L,"当胃泌素17轻度偏高，处于15-30pmol/L时，可能提示存在胃部轻度炎症，如幽门螺杆菌感染引发的浅表性胃炎。此时，胃黏膜受病菌刺激，胃窦部G细胞分泌胃泌素17有所增加。多数患者可能仅表现出轻微消化不良症状，如偶尔腹胀、嗳气，积极治疗原发病，如根除幽门螺杆菌，胃泌素17水平有望恢复正常，病情相对不严重。
若胃泌素17升高至30-100pmol/L，可能与萎缩性胃炎相关。在萎缩性胃炎状态下，胃黏膜腺体萎缩，胃酸分泌减少，反馈性地促使胃泌素17分泌增多。此时，患者除消化不良症状加重，如频繁腹痛、食欲不振外，还面临着一定的癌变风险。不过通过积极干预，如调整饮食、药物治疗控制炎症，定期胃镜复查监测病情变化，仍可有效控制疾病进展，虽有一定严重性，但并非不可控。
当胃泌素17显著升高，超过100pmol/L时，情况较为严重，可能与胃泌素瘤有关。胃泌素瘤会大量分泌胃泌素17，刺激胃酸过度分泌，引发严重且顽固的消化性溃疡，同时伴有腹泻等症状。这种肿瘤多为恶性，易发生转移，严重威胁患者生命健康，需及时诊断，通过手术、放化疗等综合治疗。
此外，胃泌素17偏高程度的严重性还需结合胃镜下胃黏膜表现、病理活检结果等。若胃镜检查发现胃黏膜存在明显病变，如溃疡、糜烂、肿物，且病理提示有异型增生等癌前病变，即便胃泌素17升高幅度不特别大，也需高度重视，因其癌变风险较高。","1、饮食调整：遵循清淡、易消化饮食原则，减少辛辣、油腻、刺激性食物摄入，降低对胃黏膜刺激。增加新鲜蔬果摄入，补充维生素与膳食纤维，利于胃黏膜修复；
2、生活习惯改善：保持规律作息，避免熬夜，充足睡眠利于胃部自我修复。适度运动，增强体质，促进胃肠蠕动，但避免饭后立即剧烈运动；
3、定期复查：根据医生建议定期复查胃泌素17水平，同时复查胃镜等相关检查。动态监测数值变化与胃部病变情况，以便及时调整治疗方案，预防疾病进展。",成人,
胃蛋白酶原I,Pepsinogen I,PGI,胃功能,67,200,ng/mL,胃蛋白酶原I的正常值范围通常在67-200微克/升，具体数值可能因检测方法、实验室标准及个体差异而略有不同。 不同医疗机构采用的检测试剂盒和仪器存在差异，可能导致正常值范围上下浮动约10%。 放射免疫分析法与酶联免疫吸附法的参考区间可能不一致，建议以检测报告标注的本地实验室标准为准。 青少年和青壮年群体胃蛋白酶原I水平通常处于范围上限，50岁后可能逐渐降低。,"胃蛋白酶原I是胃底腺主细胞分泌的消化酶前体，其水平反映胃黏膜功能和胃酸分泌状态。正常参考值因检测方法不同略有差异，通常范围在70-165 μg/L。若检测值为35.838 μg/L，低于正常范围，可能提示以下问题：

胃黏膜萎缩：长期慢性胃炎（如萎缩性胃炎）可能导致胃底腺细胞减少，PGI分泌下降。1.
幽门螺杆菌感染：长期感染可损伤胃黏膜，导致胃酸分泌减少和PGI水平降低。2.
胃酸分泌不足：如长期使用抑酸药（如质子泵抑制剂）、自身免疫性胃炎等。",成人,
胃镜,Gastroscopy,Gastroscopy,影像内镜,无,无,无单位,可发现胃炎、胃息肉、胃癌前病变等，常用于40岁以上人群或幽门螺杆菌感染者。,胃炎一般无需干预，息肉如异常建议切除，癌变需随访或治疗。,中老年人,胃镜能发现多种胃部病变，适用于高危人群筛查。
胆碱乙酰转移酶,Choline acetyltransferase,ChAT,酶学检测,30,45,无,胆碱乙酰转移酶（Choline acetyltransferase，ChAT）是由CHAT基因编码的酶类，主要催化乙酰辅酶A与胆碱反应生成神经递质乙酰胆碱（ACh）。该酶在神经元胞体内合成后转运至轴突末端，其活性减少与阿尔茨海默病（AD）患者认知功能损害及胆碱能神经元脱失直接相关，部分脑区ChAT水平可降至正常30-45%。除神经元外，该酶在巨噬细胞、T细胞、B细胞等免疫细胞中均有表达。,无,神经元标记、阿尔茨海默病研究、免疫细胞功能研究,胆碱乙酰转移酶活性减少与阿尔茨海默病（AD）患者认知功能损害及胆碱能神经元脱失直接相关。
